,casos_2507507,casos_est_2507507,casos_est_min_2507507,casos_est_max_2507507,p_rt1_2507507,p_inc100k_2507507,temp_min_2507507,temp_max_2507507,umid_min_2507507,pressao_min_2507507
2010-01-03,0,0.0,0,0,0.0,0.0,25.0,29.666666666666668,56.666666666666664,1009.6666666666666
2010-01-10,0,0.0,0,0,0.0,0.0,25.0,29.428571428571427,59.142857142857146,1010.1428571428571
2010-01-17,0,0.0,0,0,0.0,0.0,25.0,29.142857142857142,63.0,1011.5714285714286
2010-01-24,0,0.0,0,0,0.0,0.0,24.142857142857142,29.0,67.0,1010.7142857142857
2010-01-31,0,0.0,0,0,0.0,0.0,24.857142857142858,30.0,56.714285714285715,1009.1428571428571
2010-02-07,0,0.0,0,0,0.5,0.0,26.571428571428573,30.571428571428573,55.0,1010.4285714285714
2010-02-14,0,0.0,0,0,0.5,0.0,25.571428571428573,30.428571428571427,51.0,1008.7142857142857
2010-02-21,0,0.0,0,0,0.5,0.0,26.0,30.571428571428573,48.57142857142857,1010.1428571428571
2010-02-28,0,0.0,0,0,0.5,0.0,26.857142857142858,31.0,52.857142857142854,1009.2857142857143
2010-03-07,0,0.0,0,0,0.5,0.0,24.714285714285715,31.857142857142858,46.142857142857146,1008.8571428571429
2010-03-14,0,0.0,0,0,0.5,0.0,26.0,31.142857142857142,43.57142857142857,1009.2857142857143
2010-03-21,0,0.0,0,0,0.5,0.0,25.571428571428573,31.0,56.0,1010.1428571428571
2010-03-28,0,0.0,0,0,0.5,0.0,25.142857142857142,30.285714285714285,58.0,1009.0
2010-04-04,0,0.0,0,0,0.5,0.0,25.571428571428573,31.0,56.285714285714285,1008.7142857142857
2010-04-11,0,0.0,0,0,0.5,0.0,25.142857142857142,30.428571428571427,57.857142857142854,1008.0
2010-04-18,0,0.0,0,0,0.5,0.0,24.428571428571427,30.285714285714285,62.0,1009.5714285714286
2010-04-25,0,0.0,0,0,0.5,0.0,25.285714285714285,30.428571428571427,53.857142857142854,1010.4285714285714
2010-05-02,0,0.0,0,0,0.5,0.0,24.428571428571427,30.285714285714285,57.714285714285715,1010.4285714285714
2010-05-09,0,0.0,0,0,0.5,0.0,24.714285714285715,31.142857142857142,51.42857142857143,1010.1428571428571
2010-05-16,0,0.0,0,0,0.5,0.0,24.428571428571427,29.714285714285715,59.57142857142857,1010.0
2010-05-23,0,0.0,0,0,0.5,0.0,23.857142857142858,29.142857142857142,57.57142857142857,1009.8571428571429
2010-05-30,0,0.0,0,0,0.5,0.0,24.0,29.285714285714285,57.42857142857143,1011.0
2010-06-06,0,0.0,0,0,0.5,0.0,23.714285714285715,29.571428571428573,58.142857142857146,1013.1428571428571
2010-06-13,0,0.0,0,0,0.5,0.0,23.571428571428573,29.0,58.57142857142857,883.4285714285714
2010-06-20,0,0.0,0,0,0.5,0.0,23.285714285714285,27.857142857142858,61.285714285714285,1012.7142857142857
2010-06-27,0,0.0,0,0,0.5,0.0,23.285714285714285,28.714285714285715,52.714285714285715,1013.2857142857143
2010-07-04,0,0.0,0,0,0.5,0.0,22.142857142857142,28.428571428571427,55.0,1013.2857142857143
2010-07-11,0,0.0,0,0,0.5,0.0,22.571428571428573,28.285714285714285,58.57142857142857,884.4285714285714
2010-07-18,0,0.0,0,0,0.5,0.0,22.571428571428573,28.571428571428573,57.142857142857146,1013.4285714285714
2010-07-25,0,0.0,0,0,0.5,0.0,22.0,27.571428571428573,52.285714285714285,1015.0
2010-08-01,0,0.0,0,0,0.5,0.0,22.428571428571427,27.857142857142858,53.42857142857143,1013.2857142857143
2010-08-08,0,0.0,0,0,0.5,0.0,21.285714285714285,26.142857142857142,60.285714285714285,1013.8571428571429
2010-08-15,0,0.0,0,0,0.5,0.0,22.285714285714285,27.428571428571427,53.142857142857146,1015.5714285714286
2010-08-22,0,0.0,0,0,0.5,0.0,20.857142857142858,27.285714285714285,55.0,1015.0
2010-08-29,0,0.0,0,0,0.5,0.0,21.857142857142858,27.428571428571427,55.714285714285715,883.2857142857143
2010-09-05,0,0.0,0,0,0.5,0.0,23.142857142857142,27.571428571428573,48.142857142857146,1014.1428571428571
2010-09-12,0,0.0,0,0,0.5,0.0,22.571428571428573,27.857142857142858,50.0,1013.4285714285714
2010-09-19,0,0.0,0,0,0.5,0.0,23.571428571428573,28.0,51.857142857142854,1013.0
2010-09-26,0,0.0,0,0,0.5,0.0,23.571428571428573,27.857142857142858,52.0,1012.7142857142857
2010-10-03,0,0.0,0,0,0.5,0.0,24.428571428571427,29.0,50.57142857142857,867.7142857142857
2010-10-10,0,0.0,0,0,0.5,0.0,23.857142857142858,29.285714285714285,48.285714285714285,1012.5714285714286
2010-10-17,0,0.0,0,0,0.5,0.0,25.428571428571427,29.428571428571427,48.714285714285715,1012.2857142857143
2010-10-24,0,0.0,0,0,0.5,0.0,24.428571428571427,29.142857142857142,54.857142857142854,1008.4285714285714
2010-10-31,0,0.0,0,0,0.5,0.0,24.285714285714285,30.285714285714285,50.142857142857146,1009.2857142857143
2010-11-07,0,0.0,0,0,0.5,0.0,25.428571428571427,29.428571428571427,54.142857142857146,1010.4285714285714
2010-11-14,0,0.0,0,0,0.5,0.0,25.0,29.571428571428573,48.857142857142854,1010.4285714285714
2010-11-21,0,0.0,0,0,0.5,0.0,25.714285714285715,29.857142857142858,45.0,1009.7142857142857
2010-11-28,0,0.0,0,0,0.5,0.0,25.857142857142858,30.0,46.714285714285715,1008.1428571428571
2010-12-05,0,0.0,0,0,0.5,0.0,25.142857142857142,29.571428571428573,50.285714285714285,1009.7142857142857
2010-12-12,0,0.0,0,0,0.5,0.0,25.285714285714285,30.285714285714285,51.42857142857143,1007.4285714285714
2010-12-19,0,0.0,0,0,0.5,0.0,25.0,29.428571428571427,52.57142857142857,1006.4285714285714
2010-12-26,0,0.0,0,0,0.5,0.0,25.571428571428573,29.428571428571427,55.285714285714285,1009.5714285714286
2011-01-02,0,0.0,0,0,0.5,0.0,25.285714285714285,29.857142857142858,49.142857142857146,1007.4285714285714
2011-01-09,0,0.0,0,0,0.5,0.0,25.428571428571427,29.714285714285715,51.285714285714285,1008.7142857142857
2011-01-16,0,0.0,0,0,0.5,0.0,24.571428571428573,29.857142857142858,52.285714285714285,1008.5714285714286
2011-01-23,0,0.0,0,0,0.5,0.0,24.142857142857142,28.857142857142858,56.714285714285715,1007.5714285714286
2011-01-30,0,0.0,0,0,0.5,0.0,23.857142857142858,29.285714285714285,55.42857142857143,1009.5714285714286
2011-02-06,0,0.0,0,0,0.5,0.0,26.142857142857142,30.142857142857142,51.285714285714285,1008.1428571428571
2011-02-13,0,0.0,0,0,0.5,0.0,26.0,29.714285714285715,53.0,1009.7142857142857
2011-02-20,0,0.0,0,0,0.5,0.0,24.0,29.0,55.857142857142854,1009.2857142857143
2011-02-27,0,0.0,0,0,0.5,0.0,24.714285714285715,29.714285714285715,55.142857142857146,1008.7142857142857
2011-03-06,0,0.0,0,0,0.5,0.0,24.285714285714285,30.285714285714285,51.857142857142854,1007.8571428571429
2011-03-13,0,0.0,0,0,0.5,0.0,25.857142857142858,30.142857142857142,53.42857142857143,1008.2857142857143
2011-03-20,0,0.0,0,0,0.5,0.0,23.714285714285715,30.857142857142858,48.0,879.1428571428571
2011-03-27,0,0.0,0,0,0.5,0.0,24.571428571428573,30.857142857142858,52.285714285714285,1008.2857142857143
2011-04-03,0,0.0,0,0,0.5,0.0,25.0,30.857142857142858,54.0,1009.2857142857143
2011-04-10,0,0.0,0,0,0.5,0.0,24.285714285714285,29.428571428571427,65.85714285714286,1009.4285714285714
2011-04-17,0,0.0,0,0,0.5,0.0,23.714285714285715,29.285714285714285,62.0,1008.4285714285714
2011-04-24,0,0.0,0,0,0.5,0.0,22.857142857142858,28.714285714285715,62.0,1009.5714285714286
2011-05-01,0,0.0,0,0,0.5,0.0,23.428571428571427,28.857142857142858,62.0,1008.5714285714286
2011-05-08,0,0.0,0,0,0.5,0.0,23.285714285714285,28.142857142857142,67.14285714285714,1009.8571428571429
2011-05-15,0,0.0,0,0,0.5,0.0,23.0,28.285714285714285,60.714285714285715,1009.1428571428571
2011-05-22,0,0.0,0,0,0.5,0.0,23.571428571428573,28.714285714285715,60.142857142857146,1010.4285714285714
2011-05-29,0,0.0,0,0,0.5,0.0,23.285714285714285,28.714285714285715,58.0,1011.7142857142857
2011-06-05,0,0.0,0,0,0.5,0.0,24.0,28.714285714285715,57.57142857142857,1011.2857142857143
2011-06-12,0,0.0,0,0,0.5,0.0,23.142857142857142,28.142857142857142,59.57142857142857,1013.5714285714286
2011-06-19,0,0.0,0,0,0.5,0.0,22.714285714285715,28.0,56.857142857142854,1012.4285714285714
2011-06-26,0,0.0,0,0,0.5,0.0,21.857142857142858,27.571428571428573,61.142857142857146,1012.2857142857143
2011-07-03,0,0.0,0,0,0.5,0.0,22.571428571428573,27.714285714285715,59.0,1012.1428571428571
2011-07-10,0,0.0,0,0,0.5,0.0,22.571428571428573,27.428571428571427,64.28571428571429,1013.0
2011-07-17,0,0.0,0,0,0.5,0.0,21.428571428571427,26.142857142857142,64.14285714285714,1012.8571428571429
2011-07-24,0,0.0,0,0,0.5,0.0,21.428571428571427,27.142857142857142,54.42857142857143,1014.7142857142857
2011-07-31,0,0.0,0,0,0.5,0.0,21.714285714285715,27.428571428571427,52.285714285714285,737.2857142857143
2011-08-07,0,0.0,0,0,0.5,0.0,21.714285714285715,28.142857142857142,55.142857142857146,869.2857142857143
2011-08-14,0,0.0,0,0,0.5,0.0,21.428571428571427,27.571428571428573,51.142857142857146,883.0
2011-08-21,0,0.0,0,0,0.5,0.0,22.0,27.428571428571427,50.714285714285715,882.4285714285714
2011-08-28,0,0.0,0,0,0.5,0.0,22.142857142857142,27.428571428571427,57.857142857142854,884.4285714285714
2011-09-04,0,0.0,0,0,0.5,0.0,23.285714285714285,27.857142857142858,51.857142857142854,870.0
2011-09-11,0,0.0,0,0,0.5,0.0,22.857142857142858,28.142857142857142,46.142857142857146,1014.2857142857143
2011-09-18,0,0.0,0,0,0.5,0.0,23.428571428571427,27.857142857142858,51.42857142857143,883.7142857142857
2011-09-25,0,0.0,0,0,0.5,0.0,22.0,27.714285714285715,49.57142857142857,1013.4285714285714
2011-10-02,0,0.0,0,0,0.5,0.0,24.0,28.428571428571427,51.857142857142854,1013.4285714285714
2011-10-09,0,0.0,0,0,0.5,0.0,24.285714285714285,28.428571428571427,49.42857142857143,1012.0
2011-10-16,0,0.0,0,0,0.5,0.0,24.571428571428573,28.428571428571427,53.142857142857146,1009.4285714285714
2011-10-23,0,0.0,0,0,0.5,0.0,24.714285714285715,28.857142857142858,51.857142857142854,1009.7142857142857
2011-10-30,0,0.0,0,0,0.5,0.0,24.857142857142858,29.285714285714285,50.0,1010.1428571428571
2011-11-06,0,0.0,0,0,0.5,0.0,24.714285714285715,28.857142857142858,50.857142857142854,1010.8571428571429
2011-11-13,0,0.0,0,0,0.5,0.0,24.571428571428573,28.857142857142858,52.42857142857143,1010.1428571428571
2011-11-20,0,0.0,0,0,0.5,0.0,24.857142857142858,29.285714285714285,52.285714285714285,1010.1428571428571
2011-11-27,0,0.0,0,0,0.5,0.0,25.428571428571427,29.571428571428573,48.142857142857146,1010.8571428571429
2011-12-04,0,0.0,0,0,0.5,0.0,25.428571428571427,29.285714285714285,49.0,1009.7142857142857
2011-12-11,0,0.0,0,0,0.5,0.0,25.142857142857142,29.714285714285715,50.42857142857143,1009.2857142857143
2011-12-18,0,0.0,0,0,0.5,0.0,21.428571428571427,25.142857142857142,58.57142857142857,866.2857142857143
2011-12-25,0,0.0,0,0,0.5,0.0,25.857142857142858,30.0,50.57142857142857,1010.7142857142857
2012-01-01,0,0.0,0,0,0.5,0.0,25.375,32.0,47.0,1011.75
2012-01-08,0,0.0,0,0,0.5,0.0,25.428571428571427,29.714285714285715,51.714285714285715,1011.1428571428571
2012-01-15,0,0.0,0,0,0.5,0.0,25.714285714285715,29.857142857142858,52.857142857142854,1011.4285714285714
2012-01-22,0,0.0,0,0,0.5,0.0,24.0,29.0,56.42857142857143,1010.2857142857143
2012-01-29,0,0.0,0,0,0.5,0.0,24.571428571428573,29.142857142857142,56.0,1010.1428571428571
2012-02-05,0,0.0,0,0,0.5,0.0,25.428571428571427,30.0,49.714285714285715,1010.7142857142857
2012-02-12,0,0.0,0,0,0.5,0.0,26.0,30.428571428571427,49.42857142857143,1010.0
2012-02-19,0,0.0,0,0,0.5,0.0,24.714285714285715,29.428571428571427,51.0,1010.2857142857143
2012-02-26,0,0.0,0,0,0.5,0.0,25.285714285714285,29.285714285714285,53.57142857142857,1009.4285714285714
2012-03-04,0,0.0,0,0,0.5,0.0,24.571428571428573,30.285714285714285,46.42857142857143,1010.5714285714286
2012-03-11,0,0.0,0,0,0.5,0.0,24.285714285714285,30.0,51.857142857142854,1010.5714285714286
2012-03-18,0,0.0,0,0,0.5,0.0,25.857142857142858,29.857142857142858,54.142857142857146,1010.4285714285714
2012-03-25,0,0.0,0,0,0.5,0.0,25.714285714285715,30.285714285714285,51.142857142857146,879.7142857142857
2012-04-01,0,0.0,0,0,0.5,0.0,25.428571428571427,30.0,52.0,1010.5714285714286
2012-04-08,0,0.0,0,0,0.5,0.0,25.0,29.714285714285715,56.285714285714285,1009.5714285714286
2012-04-15,0,0.0,0,0,0.5,0.0,24.428571428571427,30.0,49.857142857142854,1010.4285714285714
2012-04-22,0,0.0,0,0,0.5,0.0,24.571428571428573,30.142857142857142,48.42857142857143,1010.2857142857143
2012-04-29,0,0.0,0,0,0.5,0.0,24.857142857142858,30.285714285714285,44.714285714285715,1010.1428571428571
2012-05-06,0,0.0,0,0,0.5,0.0,24.714285714285715,30.571428571428573,43.857142857142854,1011.7142857142857
2012-05-13,0,0.0,0,0,0.5,0.0,23.0,29.714285714285715,49.0,1011.7142857142857
2012-05-20,0,0.0,0,0,0.5,0.0,25.142857142857142,30.285714285714285,48.714285714285715,1011.1428571428571
2012-05-27,0,0.0,0,0,0.5,0.0,23.571428571428573,28.428571428571427,60.714285714285715,752.1428571428571
2012-06-03,0,0.0,0,0,0.5,0.0,23.285714285714285,28.285714285714285,55.857142857142854,1013.0
2012-06-10,0,0.0,0,0,0.5,0.0,23.571428571428573,29.0,57.142857142857146,1013.0
2012-06-17,0,0.0,0,0,0.5,0.0,21.714285714285715,27.714285714285715,48.57142857142857,882.8571428571429
2012-06-24,0,0.0,0,0,0.5,0.0,22.142857142857142,27.857142857142858,63.714285714285715,882.8571428571429
2012-07-01,0,0.0,0,0,0.5,0.0,21.571428571428573,27.571428571428573,50.285714285714285,883.5714285714286
