,casos_3304557,casos_est_3304557,casos_est_min_3304557,casos_est_max_3304557,p_rt1_3304557,p_inc100k_3304557,temp_min_3304557,temp_max_3304557,umid_min_3304557,pressao_min_3304557
2010-01-03,31,31.0,31,31.0,0.0,0.459408,24.333333333333332,33.0,42.0,1009.6666666666666
2010-01-10,45,45.0,45,45.0,0.0,0.6668825,25.428571428571427,34.0,43.285714285714285,1008.0
2010-01-17,48,48.0,48,48.0,0.0,0.7113414,24.142857142857142,34.0,43.857142857142854,1010.2857142857143
2010-01-24,56,56.0,56,56.0,0.0,0.8298983,23.714285714285715,34.285714285714285,39.285714285714285,1009.0
2010-01-31,69,69.0,69,69.0,0.0,1.0225532,23.857142857142858,33.857142857142854,41.285714285714285,1009.8571428571429
2010-02-07,59,59.0,59,59.0,0.59582657,0.8743571,25.142857142857142,37.0,30.142857142857142,1009.1428571428571
2010-02-14,69,69.0,69,69.0,0.7340243,1.0225532,24.714285714285715,36.42857142857143,29.714285714285715,1008.7142857142857
2010-02-21,77,77.0,77,77.0,0.8576254,1.1411102,24.428571428571427,34.285714285714285,40.142857142857146,1011.0
2010-02-28,99,99.0,99,99.0,0.98815596,1.4671416,23.285714285714285,32.142857142857146,46.42857142857143,1010.1428571428571
2010-03-07,75,75.0,75,75.0,0.37574977,1.1114709,21.571428571428573,26.428571428571427,69.0,1010.5714285714286
2010-03-14,73,73.0,73,73.0,0.18485987,1.0818317,23.714285714285715,35.285714285714285,39.0,1005.8571428571429
2010-03-21,104,104.0,104,104.0,0.95031595,1.5412396,22.571428571428573,30.0,55.714285714285715,1011.8571428571429
2010-03-28,84,84.0,84,84.0,0.5412385,1.2448474,23.714285714285715,33.42857142857143,43.0,1009.7142857142857
2010-04-04,80,80.0,80,80.0,0.2606664,1.1855689,23.142857142857142,31.0,55.857142857142854,1011.0
2010-04-11,84,84.0,84,84.0,0.41330853,1.2448474,19.142857142857142,25.428571428571427,59.285714285714285,1013.4285714285714
2010-04-18,92,92.0,92,92.0,0.7404203,1.3634043,20.285714285714285,29.285714285714285,45.857142857142854,1016.8571428571429
2010-04-25,126,126.0,126,126.0,0.99642444,1.8672711,22.571428571428573,32.142857142857146,41.714285714285715,1011.4285714285714
2010-05-02,137,137.0,137,137.0,0.9926473,2.0302868,20.285714285714285,28.0,51.42857142857143,1014.2857142857143
