,casos_2312908,casos_est_2312908,casos_est_min_2312908,casos_est_max_2312908,p_rt1_2312908,p_inc100k_2312908,temp_min_2312908,temp_max_2312908,umid_min_2312908,pressao_min_2312908,casos_2300507,casos_est_2300507,casos_est_min_2300507,casos_est_max_2300507,p_rt1_2300507,p_inc100k_2300507,temp_min_2300507,temp_max_2300507,umid_min_2300507,pressao_min_2300507,casos_2305902,casos_est_2305902,casos_est_min_2305902,casos_est_max_2305902,p_rt1_2305902,p_inc100k_2305902,temp_min_2305902,temp_max_2305902,umid_min_2305902,pressao_min_2305902
2010-01-03,5,5.0,5,5,0.0,2.454807,23.333333333333332,28.333333333333332,66.33333333333333,1009.0,0,0.0,0,0,0.0,0.0,23.333333333333332,28.333333333333332,66.33333333333333,1009.0,0,0.0,0,0,0.0,0.0,23.333333333333332,28.333333333333332,66.33333333333333,1009.0
2010-01-10,5,5.0,5,5,0.0,2.454807,24.714285714285715,29.714285714285715,59.57142857142857,1009.4285714285714,0,0.0,0,0,0.0,0.0,24.714285714285715,29.714285714285715,59.57142857142857,1009.4285714285714,0,0.0,0,0,0.0,0.0,24.714285714285715,29.714285714285715,59.57142857142857,1009.4285714285714
2010-01-17,4,4.0,4,4,0.0,1.9638456,25.142857142857142,30.571428571428573,58.142857142857146,1010.7142857142857,0,0.0,0,0,0.0,0.0,25.142857142857142,30.571428571428573,58.142857142857146,1010.7142857142857,0,0.0,0,0,0.0,0.0,25.142857142857142,30.571428571428573,58.142857142857146,1010.7142857142857
2010-01-24,4,4.0,4,4,0.0,1.9638456,24.714285714285715,30.857142857142858,54.142857142857146,1009.0,0,0.0,0,0,0.0,0.0,24.714285714285715,30.857142857142858,54.142857142857146,1009.0,0,0.0,0,0,0.0,0.0,24.714285714285715,30.857142857142858,54.142857142857146,1009.0
2010-01-31,13,13.0,13,13,0.0,6.3824983,24.714285714285715,30.571428571428573,61.42857142857143,1007.8571428571429,0,0.0,0,0,0.0,0.0,24.714285714285715,30.571428571428573,61.42857142857143,1007.8571428571429,0,0.0,0,0,0.0,0.0,24.714285714285715,30.571428571428573,61.42857142857143,1007.8571428571429
2010-02-07,9,9.0,9,9,0.7446127,4.4186525,25.428571428571427,31.428571428571427,55.714285714285715,1008.7142857142857,0,0.0,0,0,0.5,0.0,25.428571428571427,31.428571428571427,55.714285714285715,1008.7142857142857,0,0.0,0,0,0.5,0.0,25.428571428571427,31.428571428571427,55.714285714285715,1008.7142857142857
2010-02-14,8,8.0,8,8,0.40156823,3.9276912,24.857142857142858,30.428571428571427,63.0,1007.5714285714286,0,0.0,0,0,0.5,0.0,24.857142857142858,30.428571428571427,63.0,1007.5714285714286,0,0.0,0,0,0.5,0.0,24.857142857142858,30.428571428571427,63.0,1007.5714285714286
2010-02-21,7,7.0,7,7,0.2803298,3.43673,25.0,30.857142857142858,59.857142857142854,1009.0,0,0.0,0,0,0.5,0.0,25.0,30.857142857142858,59.857142857142854,1009.0,0,0.0,0,0,0.5,0.0,25.0,30.857142857142858,59.857142857142854,1009.0
2010-02-28,10,10.0,10,10,0.6558291,4.909614,25.857142857142858,31.285714285714285,57.142857142857146,1008.7142857142857,0,0.0,0,0,0.5,0.0,25.857142857142858,31.285714285714285,57.142857142857146,1008.7142857142857,0,0.0,0,0,0.5,0.0,25.857142857142858,31.285714285714285,57.142857142857146,1008.7142857142857
2010-03-07,11,11.0,11,11,0.736537,5.4005756,25.857142857142858,31.285714285714285,55.714285714285715,1008.7142857142857,0,0.0,0,0,0.5,0.0,25.857142857142858,31.285714285714285,55.714285714285715,1008.7142857142857,0,0.0,0,0,0.5,0.0,25.857142857142858,31.285714285714285,55.714285714285715,1008.7142857142857
